book,chapters,word_count
1 Chronicles,29,18519
1 Corinthians,16,9262
1 John,5,2490
1 Kings,22,23412
1 Peter,5,2387
1 Samuel,31,24119
1 Thessalonians,5,1839
1 Timothy,6,2314
2 Chronicles,36,24779
2 Corinthians,13,6045
2 John,1,298
2 Kings,25,22764
2 Peter,3,1549
2 Samuel,24,19732
2 Thessalonians,3,1064
2 Timothy,4,1630
3 John,1,302
Acts,28,23456
Amos,9,4047
Colossians,4,1930
Daniel,12,11226
Deuteronomy,34,27516
Ecclesiastes,12,5329
Ephesians,6,3007
Esther,10,5476
Exodus,40,30881
Ezekiel,48,37177
Ezra,10,6889
Galatians,6,3096
Genesis,50,36319
Habakkuk,3,1356
Haggai,2,964
Hebrews,13,6901
Hosea,14,4963
Isaiah,66,35245
James,5,2316
Jeremiah,52,40431
Job,42,17603
Joel,3,1895
John,21,18888
Jonah,4,1299
Joshua,24,17936
Jude,1,603
Judges,21,18281
Lamentations,5,3253
Leviticus,27,23431
Luke,24,24602
Malachi,4,1738
Mark,16,14348
Matthew,28,22645
Micah,7,3001
Nahum,3,1111
Nehemiah,13,9843
Numbers,36,30944
Obadiah,1,604
Philemon,1,456
Philippians,4,2144
Proverbs,31,14529
Psalms,150,42307
Revelation,22,11450
Romans,16,9466
Ruth,4,2425
Song of Solomon,8,2561
Titus,3,925
Zechariah,14,6050
Zephaniah,3,1556
